SampleID,SampleNumber,SampleType,SampleSubtype,SampleType_v2,IsControl,Seagrass,PAIR,WeightTissue,DateWeighed,WeightORVolumeExtracted (g or ul),ExtractionKitType,ExtractionKitLot,ExtractionDate,RandomizedExtractionGroup,DNA concentration (ng/ul or ug/mL),ZymoWell,ZymoSampleID,TimePoint,CollectionDate,Location,CoreNumber,Salinity_H20,pH_H20,Nitrate_H20_mgperL,Nitrite_H20_ppb,Ammonia_H20_mgperL,Lattitude,Longitude,Notes,Description
NRS_LOC_T2_WP_01_S_033,33,Sediment,Bulk_SedimentCore,Sediment,FALSE,TRUE,FALSE,0.289,4/19/17,0.289,ZymoBiomics,ZRC187919,8/10/17,C,3.17,A3,3,T2,8/5/16,WestPoint,1,49.4,6.5,2.8,0,0.61," 38 19'11.78""N","123  3'13.46""W",,
NRS_LOC_T2_WP_04_S_042,42,Sediment,Bulk_SedimentCore,Sediment,FALSE,TRUE,FALSE,0.2775,4/19/17,0.2775,ZymoBiomics,ZRC187919,8/10/17,C,6.13,B10,22,T2,8/5/16,WestPoint,4,50.2,6.83,0,1,0.46," 38 19'12.08""N","123  3'13.44""W",,
NRS_LOC_T3_WP_02_S_066,66,Sediment,Bulk_SedimentCore,Sediment,FALSE,TRUE,FALSE,0.2447,4/19/17,0.2447,ZymoBiomics,ZRC187919,8/8/17,B,5.15,A4,4,T3,8/19/16,WestPoint,2,50.2,6.33,19.8,3,0.21," 38 19'12.14""N","123  3'13.09""W",,
NRS_NEG_T2_WP_00_S_169,169,Sediment,Bulk_SedimentCore,Sediment,FALSE,FALSE,FALSE,0.288,4/20/17,0.288,ZymoBiomics,ZRC187919,8/8/17,B,2.36,A10,10,T2,8/5/16,WestPoint,0,NA,7.02,0,NA,0.66," 38 19'11.06""N","123  3'16.55""W",,
NRS_NEG_T3_EL_00_O_180,180,Control_H20,Field_Water,Control_H20,TRUE,FALSE,FALSE,NA,NA,250 ul,ZymoBiomics,ZRC187919,8/2/17,A,0.17,C12,36,T3,8/19/16,Lab,0,NA,NA,NA,NA,NA,NA,NA,,
NRS_NEG_T3_EL_00_O_181,181,Control_H20,Field_Water,Control_H20,TRUE,FALSE,FALSE,NA,NA,250 ul,ZymoBiomics,ZRC187919,8/2/17,A,0.18,D12,48,T3,8/19/16,Lab,0,NA,NA,NA,NA,NA,NA,NA,,
NRS_NEG_T3_EL_00_O_182,182,Control_H20,Field_Water,Control_H20,TRUE,FALSE,FALSE,NA,NA,250 ul,ZymoBiomics,ZRC187919,8/8/17,B,0.261,A11,11,T3,8/19/16,Lab,0,NA,NA,NA,NA,NA,NA,NA,,
NRS_NEG_T3_EL_00_E_183,183,Control_EtoH,Field_EtOH,Control_EtoH,TRUE,FALSE,FALSE,NA,NA,250 ul,ZymoBiomics,ZRC187919,8/8/17,B,0.24,C8,32,T3,8/19/16,Lab,0,NA,NA,NA,NA,NA,NA,NA,,
NRS_NEG_T3_EL_00_E_184,184,Control_EtoH,Field_EtOH,Control_EtoH,TRUE,FALSE,FALSE,NA,NA,250 ul,ZymoBiomics,ZRC187919,8/10/17,C,0.266,B3,15,T3,8/19/16,Lab,0,NA,NA,NA,NA,NA,NA,NA,,
NRS_NEG_T3_EL_00_E_185,185,Control_EtoH,Field_EtOH,Control_EtoH,TRUE,FALSE,FALSE,NA,NA,250 ul,ZymoBiomics,ZRC187919,8/10/17,C,0.317,B6,18,T3,8/19/16,Lab,0,NA,NA,NA,NA,NA,NA,NA,,
NRS_POS_NA_EL_00_C_189,189,Control_ZymoMockComm,Zymo_Mock_Comm,Control_ZymoMockComm,FALSE,FALSE,FALSE,NA,NA,75 ul,ZymoBiomics,ZRC187919,8/16/17,D,12.9,C4,28,NA,NA,Lab,0,NA,NA,NA,NA,NA,NA,NA,,
NRS_POS_NA_EL_00_C_190,190,Control_ZymoMockComm,Zymo_Mock_Comm,Control_ZymoMockComm,FALSE,FALSE,FALSE,NA,NA,75 ul,ZymoBiomics,ZRC187919,8/8/17,B,12.7,C9,33,NA,NA,Lab,0,NA,NA,NA,NA,NA,NA,NA,,
NRS_POS_NA_EL_00_C_191,191,Control_ZymoMockComm,Zymo_Mock_Comm,Control_ZymoMockComm,FALSE,FALSE,FALSE,NA,NA,75 ul,ZymoBiomics,ZRC187919,8/10/17,C,12.2,B5,17,NA,NA,Lab,0,NA,NA,NA,NA,NA,NA,NA,,
NRS_NEG_NA_EL_00_K_195,195,Control_Kit,Zymo_Kit_Control,Control_Kit,TRUE,FALSE,FALSE,NA,NA,0 ul,ZymoBiomics,ZRC187919,8/16/17,D,0.15,D6,42,NA,NA,Lab,0,NA,NA,NA,NA,NA,NA,NA,,
NRS_NEG_NA_EL_00_K_196,196,Control_Kit,Zymo_Kit_Control,Control_Kit,TRUE,FALSE,FALSE,NA,NA,0 ul,ZymoBiomics,ZRC187919,8/8/17,B,0.246,A9,9,NA,NA,Lab,0,NA,NA,NA,NA,NA,NA,NA,,
NRS_NEG_NA_EL_00_K_197,197,Control_Kit,Zymo_Kit_Control,Control_Kit,TRUE,FALSE,FALSE,NA,NA,0 ul,ZymoBiomics,ZRC187919,8/10/17,C,0.263,A7,7,NA,NA,Lab,0,NA,NA,NA,NA,NA,NA,NA,,
NRS_NEG_NA_EL_00_K_198,198,Control_EtoH,Lab_EtOH,Control_EtoH,TRUE,FALSE,FALSE,NA,NA,250 ul,ZymoBiomics,ZRC187920,8/16/17,D,0.215,C3,27,NA,NA,Lab,0,NA,NA,NA,NA,NA,NA,NA,,
NRS_NEG_NA_EL_00_K_199,199,Control_EtoH,Lab_EtOH,Control_EtoH,TRUE,FALSE,FALSE,NA,NA,250 ul,ZymoBiomics,ZRC187921,8/16/17,D,0.16,D3,39,NA,NA,Lab,0,NA,NA,NA,NA,NA,NA,NA,,
NRS_NEG_NA_EL_00_K_200,200,Control_EtoH,Lab_EtOH,Control_EtoH,TRUE,FALSE,FALSE,NA,NA,250 ul,ZymoBiomics,ZRC187922,8/16/17,D,0.16,D1,37,NA,NA,Lab,0,NA,NA,NA,NA,NA,NA,NA,,
NRS_WOR_T2_WP_00_W_501,501,Phoronid,Phoronid,Phoronid,FALSE,FALSE,11,0.1536,4/19/17,0.1536,ZymoBiomics,ZRC187919,8/8/17,B,0.341,A6,6,T2,8/5/16,WestPoint,0,NA,7.02,0,NA,0.66," 38 19'11.06""N","123  3'16.55""W",,
NRS_WOR_T2_WP_00_H_502,502,PhoronidHouse,PhoronidHouse,Tube,FALSE,FALSE,11,0.307,4/19/17,0.307,ZymoBiomics,ZRC187919,8/8/17,B,3.53,B8,20,T2,8/5/16,WestPoint,0,NA,7.02,0,NA,0.66," 38 19'11.06""N","123  3'16.55""W",,
NRS_WOR_T2_WP_00_H_503,503,PhoronidHouse,PhoronidHouse,Tube,FALSE,FALSE,FALSE,0.2083,4/19/17,0.2083,ZymoBiomics,ZRC187919,8/8/17,B,0.866,B7,19,T2,8/5/16,WestPoint,0,NA,7.02,0,NA,0.66," 38 19'11.06""N","123  3'16.55""W",,
NRS_WOR_T2_WP_01_V_504,504,ControlWorm,ControlWorm,ControlWorm,FALSE,TRUE,FALSE,0.2323,4/19/17,0.2323,ZymoBiomics,ZRC187919,8/10/17,C,69.9,B1,13,T2,8/5/16,WestPoint,1,49.4,6.5,2.8,0,0.61," 38 19'11.78""N","123  3'13.46""W",,
NRS_WOR_T2_WP_01_V_505,505,ControlWorm,ControlWorm,ControlWorm,FALSE,TRUE,FALSE,0.2693,4/19/17,0.2693,ZymoBiomics,ZRC187919,8/2/17,A,54.7,C6,30,T2,8/5/16,WestPoint,1,49.4,6.5,2.8,0,0.61," 38 19'11.78""N","123  3'13.46""W",,
NRS_WOR_T2_WP_01_W_506,506,Phoronid,Phoronid,Phoronid,FALSE,TRUE,10,0.1079,4/19/17,0.1079,ZymoBiomics,ZRC187919,8/2/17,A,2.82,B9,21,T2,8/5/16,WestPoint,1,49.4,6.5,2.8,0,0.61," 38 19'11.78""N","123  3'13.46""W",,
NRS_WOR_T2_WP_01_H_507,507,PhoronidHouse,PhoronidHouse,Tube,FALSE,TRUE,10,0.2838,4/19/17,0.2838,ZymoBiomics,ZRC187919,8/8/17,B,2.36,A12,12,T2,8/5/16,WestPoint,1,49.4,6.5,2.8,0,0.61," 38 19'11.78""N","123  3'13.46""W",,
